checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
no checking,12,no credits,furniture,2759,<100,>=7yr,2,male single,none,4,insurance/savings,34,none,own,2,skilled,1,none,yes,0
no checking,24,existing paid,car (used),2670,<100,>=7yr,4,male single,none,4,car,35,none,own,1,management,1,yes,yes,0
<0,24,existing paid,car (new),4817,<100,4-7yr,2,male single,co-applicant,3,insurance/savings,31,none,own,1,skilled,1,yes,yes,1
no checking,24,existing paid,car (used),2679,<100,<1yr,4,female,none,1,no property,29,none,own,1,management,1,yes,yes,0
<0,11,critical,car (new),3905,<100,1-4yr,2,male single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,0
<0,12,existing paid,car (used),3386,<100,>=7yr,3,male single,none,4,no property,35,none,free,1,skilled,1,yes,yes,1
<0,6,existing paid,appliances,343,<100,<1yr,4,female,none,1,real estate,27,none,own,1,skilled,1,none,yes,0
no checking,18,existing paid,radio/TV,4594,<100,<1yr,3,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,0
<0,36,existing paid,furniture,3620,<100,1-4yr,1,male single,guarantor,2,insurance/savings,37,none,own,1,skilled,2,none,yes,0
<0,15,existing paid,car (new),1721,<100,<1yr,2,male single,none,3,real estate,36,none,own,1,skilled,1,none,yes,0
0-200,12,existing paid,furniture,3017,<100,<1yr,3,female,none,1,real estate,34,none,rent,1,management,1,none,yes,0
0-200,12,existing paid,retraining,754,no savings,>=7yr,4,male single,none,4,insurance/savings,38,none,own,2,skilled,1,none,yes,0
no checking,18,existing paid,business,1950,<100,4-7yr,4,male single,none,1,car,34,stores,own,2,skilled,1,yes,yes,0
<0,24,existing paid,car (used),2924,<100,1-4yr,3,male single,guarantor,4,no property,63,bank,own,1,skilled,2,yes,yes,0
<0,24,delayed,radio/TV,1659,<100,<1yr,4,female,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,1
no checking,48,delayed,radio/TV,7238,no savings,>=7yr,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,0
no checking,33,delayed,business,2764,<100,1-4yr,2,female,none,2,car,26,none,own,2,skilled,1,yes,yes,0
no checking,24,delayed,car (used),4679,<100,4-7yr,3,male single,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,0
0-200,24,existing paid,radio/TV,3092,100-500,<1yr,3,male married,none,2,car,22,none,rent,1,skilled,1,yes,yes,1
<0,6,existing paid,education,448,<100,<1yr,4,female,none,4,insurance/savings,23,none,own,1,skilled,1,none,yes,1
<0,9,existing paid,car (new),654,<100,1-4yr,4,male single,none,3,car,28,none,own,1,unskilled resident,1,none,yes,1
no checking,6,existing paid,retraining,1238,no savings,unemployed,4,male single,none,4,insurance/savings,36,none,own,1,management,2,yes,yes,0
0-200,18,critical,radio/TV,1245,<100,1-4yr,4,male married,none,2,car,33,none,own,1,skilled,1,none,yes,1
<0,18,no credits,furniture,3114,<100,<1yr,1,female,none,4,insurance/savings,26,none,rent,1,skilled,1,none,yes,1
no checking,39,existing paid,car (used),2569,500-1000,1-4yr,4,male single,none,4,car,24,none,own,1,skilled,1,none,yes,0
>=200,24,existing paid,radio/TV,5152,<100,4-7yr,4,male single,none,2,car,25,bank,own,1,skilled,1,none,yes,0
0-200,12,existing paid,business,1037,100-500,4-7yr,3,male single,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,0
<0,15,critical,furniture,1478,<100,>=7yr,4,male single,none,4,car,44,none,own,2,skilled,2,yes,yes,0
0-200,12,critical,radio/TV,3573,<100,1-4yr,1,female,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,0
0-200,24,existing paid,car (new),1201,<100,<1yr,4,male single,none,1,insurance/savings,26,none,own,1,skilled,1,none,yes,0
<0,30,existing paid,furniture,3622,>=1000,>=7yr,4,female,none,4,insurance/savings,57,none,rent,2,skilled,1,yes,yes,0
no checking,15,delayed,furniture,960,>=1000,4-7yr,3,female,none,2,insurance/savings,30,none,own,2,skilled,1,none,yes,0
no checking,12,critical,car (new),1163,500-1000,1-4yr,4,male single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,0
0-200,6,delayed,car (new),1209,<100,unemployed,4,male single,none,4,insurance/savings,47,none,own,1,management,1,yes,yes,1
no checking,12,existing paid,radio/TV,3077,<100,1-4yr,2,male single,none,4,car,52,none,own,1,skilled,1,yes,yes,0
no checking,24,existing paid,car (new),3757,<100,>=7yr,4,female,co-applicant,4,no property,62,none,free,1,skilled,1,yes,yes,0
no checking,10,existing paid,car (new),1418,100-500,1-4yr,3,male single,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,0
no checking,6,existing paid,car (new),3518,<100,1-4yr,2,male single,guarantor,3,insurance/savings,26,none,rent,1,skilled,1,none,yes,0
no checking,12,critical,radio/TV,1934,<100,>=7yr,2,male single,none,2,no property,26,none,own,2,skilled,1,none,yes,0
0-200,27,no credits,business,8318,<100,>=7yr,2,female,none,4,no property,42,none,free,2,management,1,yes,yes,1
no checking,6,critical,radio/TV,1237,100-500,1-4yr,1,female,none,1,insurance/savings,27,none,own,2,skilled,1,none,yes,0
0-200,6,existing paid,radio/TV,368,no savings,>=7yr,4,male single,none,4,insurance/savings,38,none,own,1,skilled,1,none,yes,0
<0,12,critical,car (new),2122,<100,1-4yr,3,male single,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,0
<0,24,existing paid,furniture,2996,no savings,1-4yr,2,male married,none,4,car,20,none,own,1,skilled,1,none,yes,1
0-200,36,existing paid,furniture,9034,100-500,<1yr,4,male single,co-applicant,1,no property,29,none,rent,1,management,1,yes,yes,1
no checking,24,critical,furniture,1585,<100,4-7yr,4,male single,none,3,insurance/savings,40,none,own,2,skilled,1,none,yes,0
0-200,18,existing paid,radio/TV,1301,<100,>=7yr,4,male married,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,0
>=200,6,critical,car (new),1323,100-500,>=7yr,2,male divorced,none,4,car,28,none,own,2,skilled,2,yes,yes,0
<0,24,existing paid,car (new),3123,<100,<1yr,4,female,none,1,insurance/savings,27,none,own,1,skilled,1,none,yes,1
<0,36,existing paid,car (used),5493,<100,>=7yr,2,male single,none,4,no property,42,none,free,1,skilled,2,none,yes,0
>=200,9,existing paid,radio/TV,1126,100-500,>=7yr,2,male divorced,none,4,real estate,49,none,own,1,skilled,1,none,yes,0
0-200,24,critical,radio/TV,1216,100-500,<1yr,4,male single,none,4,no property,38,bank,own,2,skilled,2,none,yes,1
<0,24,existing paid,car (new),1207,<100,<1yr,4,female,none,4,insurance/savings,24,none,rent,1,skilled,1,none,yes,1
no checking,10,existing paid,car (new),1309,no savings,1-4yr,4,male single,guarantor,4,insurance/savings,27,none,own,1,unskilled resident,1,none,yes,1
>=200,15,critical,car (used),2360,500-1000,1-4yr,2,male single,none,2,car,36,none,own,1,skilled,1,yes,yes,0
0-200,15,all paid,car (new),6850,100-500,unemployed,1,male single,none,2,insurance/savings,34,none,own,1,management,2,yes,yes,1
no checking,24,existing paid,radio/TV,1413,<100,1-4yr,4,male married,none,2,insurance/savings,28,none,own,1,skilled,1,none,yes,0
no checking,39,existing paid,car (used),8588,100-500,>=7yr,4,male single,none,2,car,45,none,own,1,management,1,yes,yes,0
<0,12,existing paid,car (new),759,<100,4-7yr,4,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,1
no checking,36,existing paid,car (used),4686,<100,1-4yr,2,male single,none,2,no property,32,none,free,1,management,1,yes,yes,0
>=200,15,existing paid,business,2687,<100,4-7yr,2,male single,none,4,insurance/savings,26,none,rent,1,skilled,1,yes,yes,0
0-200,12,delayed,radio/TV,585,<100,1-4yr,4,male married,co-applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,0
no checking,24,existing paid,car (new),2255,no savings,<1yr,4,male single,none,1,insurance/savings,54,none,own,1,skilled,1,none,yes,0
<0,6,critical,car (new),609,<100,4-7yr,4,female,none,3,insurance/savings,37,none,own,2,skilled,1,none,no,0
<0,6,critical,car (new),1361,<100,<1yr,2,male single,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,0
no checking,36,critical,furniture,7127,<100,<1yr,2,female,none,4,insurance/savings,23,none,rent,2,skilled,1,yes,yes,1
<0,6,existing paid,car (new),1203,100-500,>=7yr,3,male single,none,2,insurance/savings,43,none,own,1,skilled,1,yes,yes,0
no checking,6,critical,radio/TV,700,no savings,>=7yr,4,male single,none,4,no property,36,none,free,2,skilled,1,none,yes,0
no checking,24,critical,repairs,5507,<100,>=7yr,3,male single,none,4,no property,44,none,free,2,skilled,1,none,yes,0
<0,18,existing paid,radio/TV,3190,<100,1-4yr,2,female,none,2,real estate,24,none,own,1,skilled,1,none,yes,1
<0,48,no credits,furniture,7119,<100,1-4yr,3,male single,none,4,no property,53,none,free,2,skilled,2,none,yes,1
no checking,24,existing paid,car (used),3488,100-500,4-7yr,3,female,none,4,car,23,none,own,1,skilled,1,none,yes,0
0-200,18,existing paid,radio/TV,1113,<100,1-4yr,4,female,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,0
0-200,26,existing paid,car (used),7966,<100,<1yr,2,male single,none,3,car,30,none,own,2,skilled,1,none,yes,0
no checking,15,critical,education,1532,100-500,1-4yr,4,female,none,3,car,31,none,own,1,skilled,1,none,yes,0
no checking,4,critical,radio/TV,1503,<100,4-7yr,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,0
<0,36,existing paid,radio/TV,2302,<100,1-4yr,4,male divorced,none,4,car,31,none,rent,1,skilled,1,none,yes,1
<0,6,existing paid,car (new),662,<100,<1yr,3,male single,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,0
0-200,36,existing paid,education,2273,<100,4-7yr,3,male single,none,1,car,32,none,own,2,skilled,2,none,yes,0
0-200,15,existing paid,car (new),2631,100-500,1-4yr,2,female,none,4,car,28,none,rent,2,skilled,1,yes,yes,1
no checking,12,delayed,car (used),1503,<100,1-4yr,4,male married,none,4,real estate,41,none,rent,1,skilled,1,none,yes,0
no checking,24,existing paid,radio/TV,1311,100-500,4-7yr,4,male married,none,3,insurance/savings,26,none,own,1,skilled,1,yes,yes,0
no checking,24,existing paid,radio/TV,3105,no savings,<1yr,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,0
>=200,21,critical,education,2319,<100,<1yr,2,male divorced,none,1,car,33,none,rent,1,skilled,1,none,yes,1
<0,6,existing paid,car (new),1374,no savings,unemployed,4,female,none,3,insurance/savings,75,none,own,1,management,1,yes,yes,0
0-200,18,critical,furniture,3612,<100,>=7yr,3,female,none,4,insurance/savings,37,none,own,1,skilled,1,yes,yes,0
<0,48,existing paid,car (new),7763,<100,>=7yr,4,male single,none,4,no property,42,bank,free,1,management,1,none,yes,1
>=200,18,existing paid,furniture,3049,<100,<1yr,1,female,none,1,insurance/savings,45,stores,own,1,unskilled resident,1,none,yes,0
0-200,12,existing paid,radio/TV,1534,<100,<1yr,1,male married,none,1,real estate,23,none,rent,1,skilled,1,none,yes,1
no checking,24,delayed,car (new),2032,<100,>=7yr,4,male single,none,4,no property,60,none,free,2,skilled,1,yes,yes,0
<0,30,existing paid,furniture,6350,no savings,>=7yr,4,male single,none,4,insurance/savings,31,none,own,1,skilled,1,none,yes,1
>=200,18,existing paid,furniture,2864,<100,1-4yr,2,male single,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,1
no checking,12,critical,car (new),1255,<100,>=7yr,4,male single,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,0
<0,24,delayed,car (new),1333,<100,unemployed,4,male single,none,2,real estate,43,none,free,2,skilled,2,none,yes,1
no checking,24,critical,car (new),2022,<100,1-4yr,4,female,none,4,car,37,none,own,1,skilled,1,yes,yes,0
no checking,24,existing paid,radio/TV,1552,<100,4-7yr,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,0
<0,12,all paid,radio/TV,626,<100,1-4yr,4,female,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,1
no checking,48,critical,car (used),8858,no savings,4-7yr,2,male single,none,1,no property,35,none,free,2,skilled,1,yes,yes,0
no checking,12,critical,repairs,996,no savings,4-7yr,4,female,none,4,real estate,23,none,own,2,skilled,1,none,yes,0
no checking,6,all paid,radio/TV,1750,500-1000,>=7yr,2,male single,none,4,insurance/savings,45,bank,own,1,unskilled resident,2,none,yes,0
<0,48,existing paid,radio/TV,6999,<100,4-7yr,1,male married,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,1
0-200,12,critical,car (new),1995,100-500,<1yr,4,male single,none,1,car,27,none,own,1,skilled,1,none,yes,0
0-200,9,existing paid,education,1199,<100,4-7yr,4,female,none,4,insurance/savings,67,none,own,2,management,1,yes,yes,0
0-200,12,existing paid,radio/TV,1331,<100,<1yr,2,male single,none,1,car,22,stores,own,1,skilled,1,none,yes,1
0-200,18,no credits,car (new),2278,100-500,<1yr,3,female,none,3,car,28,none,own,2,skilled,1,none,yes,1
no checking,21,no credits,car (new),5003,no savings,1-4yr,1,female,none,4,insurance/savings,29,bank,own,2,skilled,1,yes,yes,1
<0,24,all paid,furniture,3552,<100,4-7yr,3,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,1
0-200,18,critical,furniture,1928,<100,<1yr,2,male single,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,1
<0,24,existing paid,car (used),2964,no savings,>=7yr,4,male single,none,4,no property,49,bank,free,1,skilled,2,yes,yes,0
<0,24,all paid,radio/TV,1546,<100,4-7yr,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,1
>=200,6,delayed,radio/TV,683,<100,<1yr,2,female,none,1,insurance/savings,29,bank,own,1,skilled,1,none,yes,0
0-200,36,existing paid,car (new),12389,no savings,1-4yr,1,male single,none,4,no property,37,none,free,1,skilled,1,yes,yes,1
0-200,24,delayed,business,4712,no savings,1-4yr,4,male single,none,2,insurance/savings,37,bank,own,2,management,1,yes,yes,0
0-200,24,delayed,radio/TV,1553,100-500,4-7yr,3,female,none,2,insurance/savings,23,none,rent,2,skilled,1,yes,yes,0
<0,12,existing paid,car (new),1372,<100,4-7yr,2,male divorced,none,3,car,36,none,own,1,skilled,1,none,yes,1
no checking,24,critical,radio/TV,2578,>=1000,>=7yr,2,male single,none,2,car,34,none,own,1,skilled,1,none,yes,0
0-200,48,existing paid,radio/TV,3979,no savings,4-7yr,4,male single,none,1,car,41,none,own,2,skilled,2,yes,yes,0
<0,48,existing paid,radio/TV,6758,<100,1-4yr,3,female,none,2,car,31,none,own,1,skilled,1,yes,yes,1
<0,24,existing paid,furniture,3234,<100,<1yr,4,female,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,1
no checking,30,critical,radio/TV,5954,<100,4-7yr,3,male single,co-applicant,2,car,38,none,own,1,skilled,1,none,yes,0
no checking,24,existing paid,car (used),5433,no savings,unemployed,2,female,none,4,insurance/savings,26,none,rent,1,management,1,yes,yes,0
<0,15,existing paid,business,806,<100,1-4yr,4,female,none,4,insurance/savings,22,none,own,1,unskilled resident,1,none,yes,0
0-200,9,existing paid,radio/TV,1082,<100,>=7yr,4,male single,none,4,car,27,none,own,2,unskilled resident,1,none,yes,0
no checking,15,critical,furniture,2788,<100,4-7yr,2,female,co-applicant,3,car,24,bank,own,2,skilled,1,none,yes,0
0-200,12,existing paid,radio/TV,2930,<100,4-7yr,2,female,none,1,real estate,27,none,own,1,skilled,1,none,yes,0
no checking,24,critical,education,1927,no savings,1-4yr,3,female,none,2,car,33,none,own,2,skilled,1,yes,yes,0
0-200,36,critical,car (new),2820,<100,<1yr,4,male divorced,none,4,car,27,none,own,2,skilled,1,none,yes,1
no checking,24,existing paid,retraining,937,<100,<1yr,4,male married,none,3,car,27,none,own,2,unskilled resident,1,none,yes,0
0-200,18,critical,car (new),1056,<100,>=7yr,3,male single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,1
0-200,12,critical,car (new),3124,<100,<1yr,1,male single,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,0
no checking,9,existing paid,furniture,1388,<100,1-4yr,4,female,none,2,real estate,26,none,rent,1,skilled,1,none,yes,0
0-200,36,existing paid,repairs,2384,<100,<1yr,4,male single,none,1,no property,33,none,rent,1,unskilled resident,1,none,yes,1
no checking,12,existing paid,car (new),2133,no savings,>=7yr,4,female,none,4,no property,52,none,free,1,management,1,yes,yes,0
<0,18,existing paid,furniture,2039,<100,1-4yr,1,female,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,1
<0,9,critical,car (new),2799,<100,1-4yr,2,male single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,0
<0,12,existing paid,furniture,1289,<100,1-4yr,4,male single,guarantor,1,insurance/savings,21,none,own,1,unskilled resident,1,none,yes,0
<0,18,existing paid,appliances,1217,<100,1-4yr,4,male married,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,1
<0,12,critical,furniture,2246,<100,>=7yr,3,male single,none,3,insurance/savings,60,none,own,2,skilled,1,none,yes,1
<0,12,critical,radio/TV,385,<100,4-7yr,4,female,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,0
0-200,24,delayed,car (new),1965,no savings,1-4yr,4,female,none,4,car,42,none,rent,2,skilled,1,yes,yes,0
no checking,21,existing paid,business,1572,>=1000,>=7yr,4,female,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,0
0-200,24,existing paid,car (new),2718,<100,1-4yr,3,female,none,4,insurance/savings,20,none,rent,1,unskilled resident,1,yes,yes,1
<0,24,all paid,others,1358,no savings,>=7yr,4,male single,none,3,car,40,stores,own,1,management,1,yes,yes,1
0-200,6,all paid,car (new),931,100-500,<1yr,1,female,none,1,insurance/savings,32,stores,own,1,unskilled resident,1,none,yes,1
<0,24,existing paid,car (new),1442,<100,4-7yr,4,female,none,4,car,23,none,rent,2,skilled,1,none,yes,1
0-200,24,no credits,business,4241,<100,1-4yr,1,male single,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,1
no checking,18,critical,car (new),2775,<100,4-7yr,2,male single,none,2,insurance/savings,31,bank,own,2,skilled,1,none,yes,1
no checking,24,delayed,business,3863,<100,1-4yr,1,male single,none,2,no property,32,none,free,1,skilled,1,none,yes,0
0-200,7,existing paid,radio/TV,2329,<100,<1yr,1,female,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,0
0-200,9,existing paid,furniture,918,<100,1-4yr,4,female,none,1,insurance/savings,30,none,own,1,skilled,1,none,yes,1
0-200,24,all paid,education,1837,<100,4-7yr,4,female,none,4,no property,34,bank,free,1,unskilled resident,1,none,yes,1
no checking,36,existing paid,furniture,3349,<100,1-4yr,4,female,none,2,car,28,none,own,1,management,1,yes,yes,1
>=200,10,existing paid,furniture,1275,<100,<1yr,4,female,none,2,insurance/savings,23,none,own,1,skilled,1,none,yes,0
<0,24,all paid,furniture,2828,500-1000,1-4yr,4,male single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,0
no checking,24,critical,business,4526,<100,1-4yr,3,male single,none,2,real estate,74,none,own,1,management,1,yes,yes,0
0-200,36,existing paid,radio/TV,2671,100-500,1-4yr,4,female,co-applicant,4,no property,50,none,free,1,skilled,1,none,yes,1
no checking,18,existing paid,radio/TV,2051,<100,<1yr,4,male single,none,1,real estate,33,none,own,1,skilled,1,none,yes,0
no checking,15,existing paid,car (used),1300,no savings,>=7yr,4,male single,none,4,no property,45,bank,free,1,skilled,2,none,yes,0
<0,12,existing paid,appliances,741,100-500,unemployed,4,female,none,3,insurance/savings,22,none,own,1,skilled,1,none,yes,1
>=200,10,existing paid,car (new),1240,100-500,>=7yr,1,female,none,4,no property,48,none,free,1,unskilled resident,2,none,yes,1
<0,21,existing paid,radio/TV,3357,>=1000,<1yr,4,female,none,2,car,29,bank,own,1,skilled,1,none,yes,0
<0,24,all paid,car (used),3632,<100,1-4yr,1,female,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,0
no checking,18,delayed,furniture,1808,<100,4-7yr,4,female,none,1,real estate,22,none,own,1,skilled,1,none,yes,1
0-200,48,no credits,business,12204,no savings,1-4yr,2,male single,none,2,car,48,bank,own,1,management,1,yes,yes,0
0-200,60,delayed,radio/TV,9157,no savings,1-4yr,2,male single,none,2,no property,27,none,free,1,management,1,none,yes,0
<0,6,critical,car (new),3676,<100,1-4yr,1,male single,none,3,real estate,37,none,rent,3,skilled,2,none,yes,0
0-200,30,existing paid,furniture,3441,100-500,1-4yr,2,female,co-applicant,4,car,21,none,rent,1,skilled,1,none,yes,1
no checking,12,existing paid,car (new),640,<100,1-4yr,4,male divorced,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,0
0-200,21,critical,business,3652,<100,4-7yr,2,male single,none,3,insurance/savings,27,none,own,2,skilled,1,none,yes,0
no checking,18,critical,car (new),1530,<100,1-4yr,3,male single,none,2,insurance/savings,32,bank,own,2,skilled,1,none,yes,1
no checking,48,existing paid,business,3914,no savings,1-4yr,4,male divorced,none,2,real estate,38,bank,own,1,skilled,1,none,yes,1
<0,12,existing paid,furniture,1858,<100,<1yr,4,female,none,1,car,22,none,rent,1,skilled,1,none,yes,0
<0,18,existing paid,radio/TV,2600,<100,1-4yr,4,male single,none,4,no property,65,none,free,2,skilled,1,none,yes,1
no checking,15,existing paid,radio/TV,1979,no savings,>=7yr,4,male single,none,2,car,35,none,own,1,skilled,1,none,yes,0
>=200,6,existing paid,furniture,2116,<100,1-4yr,2,male single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,0
0-200,9,all paid,car (new),1437,100-500,4-7yr,2,male single,none,3,no property,29,none,own,1,skilled,1,none,yes,1
no checking,42,critical,furniture,4042,500-1000,1-4yr,4,male single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,0
no checking,9,existing paid,education,3832,no savings,>=7yr,1,male single,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,0
<0,24,existing paid,radio/TV,3660,<100,1-4yr,2,female,none,4,car,28,none,own,1,skilled,1,none,yes,0
<0,18,all paid,furniture,1553,<100,1-4yr,4,male single,none,3,car,44,bank,own,1,skilled,1,none,yes,1
0-200,15,existing paid,radio/TV,1444,no savings,<1yr,4,male single,none,1,insurance/savings,23,none,own,1,skilled,1,none,yes,0
no checking,9,existing paid,furniture,1980,<100,<1yr,2,female,co-applicant,2,car,19,none,rent,2,skilled,1,none,yes,1
0-200,24,existing paid,car (new),1355,<100,<1yr,3,female,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,1
no checking,12,existing paid,education,1393,<100,>=7yr,4,male single,none,4,insurance/savings,47,bank,own,3,skilled,2,yes,yes,0
no checking,24,existing paid,radio/TV,1376,500-1000,4-7yr,4,female,none,1,car,28,none,own,1,skilled,1,none,yes,0
no checking,60,delayed,radio/TV,15653,<100,4-7yr,2,male single,none,4,car,21,none,own,2,skilled,1,yes,yes,0
no checking,12,existing paid,radio/TV,1493,<100,<1yr,4,female,none,3,car,34,none,own,1,skilled,2,none,yes,0
<0,42,delayed,radio/TV,4370,<100,4-7yr,3,male single,none,2,insurance/savings,26,bank,own,2,skilled,2,yes,yes,1
<0,18,existing paid,education,750,<100,unemployed,4,female,none,1,real estate,27,none,own,1,unemployed/unskilled,1,none,yes,1
0-200,15,existing paid,repairs,1308,<100,>=7yr,4,male single,none,4,car,38,none,own,2,unskilled resident,1,none,yes,0
no checking,15,existing paid,education,4623,100-500,1-4yr,3,male single,none,2,insurance/savings,40,none,own,1,management,1,yes,yes,1
no checking,24,critical,radio/TV,1851,<100,4-7yr,4,male married,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,0
<0,18,critical,radio/TV,1880,<100,4-7yr,4,male married,none,1,insurance/savings,32,none,own,2,management,1,yes,yes,0
no checking,36,delayed,business,7980,no savings,<1yr,4,male single,none,4,car,27,none,rent,2,skilled,1,yes,yes,1
<0,30,no credits,furniture,4583,<100,1-4yr,2,male divorced,guarantor,2,real estate,32,none,own,2,skilled,1,none,yes,0
no checking,12,existing paid,car (new),1386,500-1000,1-4yr,2,female,none,2,insurance/savings,26,none,own,1,skilled,1,none,yes,1
>=200,24,existing paid,car (new),947,<100,4-7yr,4,male single,none,3,no property,38,bank,free,1,skilled,2,none,yes,1
<0,12,existing paid,education,684,<100,1-4yr,4,male single,none,4,car,40,none,rent,1,unskilled resident,2,none,yes,1
<0,48,existing paid,education,7476,<100,4-7yr,4,male single,none,1,no property,50,none,free,1,management,1,yes,yes,0
0-200,12,existing paid,furniture,1922,<100,1-4yr,4,male single,none,2,insurance/savings,37,none,own,1,unskilled resident,1,none,yes,1
<0,24,existing paid,car (new),2303,<100,>=7yr,4,male single,co-applicant,1,real estate,45,none,own,1,skilled,1,none,yes,1
0-200,36,delayed,car (new),8086,100-500,>=7yr,2,male single,none,4,car,42,none,own,4,management,1,yes,yes,1
no checking,24,critical,car (used),2346,<100,4-7yr,4,male single,none,3,car,35,none,own,2,skilled,1,yes,yes,0
<0,14,existing paid,car (new),3973,<100,unemployed,1,male single,none,4,no property,22,none,free,1,skilled,1,none,yes,0
0-200,12,existing paid,car (new),888,<100,>=7yr,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,1
no checking,48,existing paid,radio/TV,10222,no savings,4-7yr,4,male single,none,3,car,37,stores,own,1,skilled,1,yes,yes,0
0-200,30,no credits,business,4221,<100,1-4yr,2,female,none,1,car,28,none,own,2,skilled,1,none,yes,0
0-200,18,critical,furniture,6361,<100,>=7yr,2,male single,none,1,no property,41,none,own,1,skilled,1,yes,yes,0
>=200,12,existing paid,radio/TV,1297,<100,1-4yr,3,male married,none,4,real estate,23,none,rent,1,skilled,1,none,yes,0
<0,12,existing paid,car (new),900,no savings,1-4yr,4,male married,none,2,car,23,none,own,1,skilled,1,none,yes,1
no checking,21,existing paid,furniture,2241,<100,>=7yr,4,male single,none,2,real estate,50,none,own,2,skilled,1,none,yes,0
0-200,6,delayed,furniture,1050,<100,unemployed,4,male single,none,1,insurance/savings,35,stores,own,2,management,1,yes,yes,0
>=200,6,critical,education,1047,<100,1-4yr,2,female,none,4,insurance/savings,50,none,own,1,unskilled resident,1,none,yes,0
no checking,24,critical,others,6314,<100,unemployed,4,male single,co-applicant,2,no property,27,bank,own,2,management,1,yes,yes,0
0-200,30,all paid,furniture,3496,>=1000,1-4yr,4,male single,none,2,car,34,stores,own,1,skilled,2,yes,yes,0
no checking,48,all paid,business,3609,<100,1-4yr,1,female,none,1,real estate,27,stores,own,1,skilled,1,none,yes,0
<0,12,critical,car (new),4843,<100,>=7yr,3,male single,co-applicant,4,insurance/savings,43,none,rent,2,skilled,1,yes,yes,1
>=200,30,critical,radio/TV,3017,<100,>=7yr,4,male single,none,4,insurance/savings,47,none,own,1,skilled,1,none,yes,0
no checking,24,critical,business,4139,100-500,1-4yr,3,male single,none,3,insurance/savings,27,none,own,2,unskilled resident,1,yes,yes,0
no checking,36,existing paid,business,5742,100-500,4-7yr,2,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,0
no checking,60,existing paid,car (new),10366,<100,>=7yr,2,male single,none,4,insurance/savings,42,none,own,1,management,1,yes,yes,0
no checking,6,critical,car (new),2080,500-1000,1-4yr,1,male married,none,2,car,24,none,own,1,skilled,1,none,yes,0
no checking,21,delayed,business,2580,500-1000,<1yr,4,male single,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,1
no checking,30,critical,radio/TV,4530,<100,4-7yr,4,female,none,4,car,26,none,rent,1,management,1,yes,yes,0
no checking,24,critical,furniture,5150,<100,>=7yr,4,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,0
0-200,72,existing paid,radio/TV,5595,100-500,1-4yr,2,male married,none,2,car,24,none,own,1,skilled,1,none,yes,1
